Ticker,Name,Price,IV %,Trend,SMA 50,SMA 200,P/S,Fwd P/E,Avg Vol (M),Earnings
F,FORD MTR CO COM,13.47,21.1,UP,12.94,11.35,0.28,9.12,91.89,N/A
FAS,DIREXION SHS ETF TR DLY FIN BULL NEW,0,240.5,N/A,163.56,159.97,0,0,0.55,N/A
FBTC,Fidelity Wise Origin Bitcoin Fund,0,216.5,N/A,86.13,90.16,0,0,6.46,N/A
FCEL,FUELCELL ENERGY INC COM NEW,8.34,85.9,UP,7.93,6.04,2.52,-3.43,3.83,N/A
FCX,FREEPORT-MCMORAN INC CL B,49.15,32.4,UP,42.55,41.03,2.71,21.76,19.64,N/A
FDX,FEDEX CORP COM,288.78,22.9,UP,261.24,236.14,0.76,13.64,1.71,N/A
FEZ,SPDR INDEX SHS FDS EURO STOXX 50,0,76.9,N/A,62.96,59.63,0,0,1.35,N/A
FFAI,FARADAY FUTURE INTLGT ELEC INC COM NEW CL A,1.12,203.1,DOWN,1.22,1.52,295.37,-0.57,7.07,N/A
FHN,FIRST HORIZON CORPORATION COM,24.43,30.7,UP,21.93,20.92,3.9,12.35,10.38,N/A
FIG,FIGMA INC CLASS A COM STK,39.48,53.0,DOWN,44.24,55.76,20.19,169.28,9.06,N/A
FIS,FIDELITY NATL INFORMATION SVCS COM,66.05,27.4,FLAT,65.57,72.38,3.3,10.44,3.71,N/A
FISV,FISERV INC COM,67.94,32.5,DOWN,81.24,145.77,0,8.13,11.16,N/A
FLY,FIREFLY AEROSPACE INC COM,24.65,97.5,FLAT,22.15,31.74,35.3,-30.29,2.43,N/A
FSLR,FIRST SOLAR INC COM,266.98,47.6,UP,252.82,189.59,5.67,11.35,2.18,N/A
FSLY,FASTLY INC CL A,10.23,52.0,UP,9.96,7.82,2.58,75.28,4.24,N/A
FTAI,FTAI AVIATION LTD SHS,168.49,46.4,FLAT,169.02,137.58,7.37,24.8,1.06,N/A
FTNT,FORTINET INC COM,80.24,30.2,DOWN,82.82,91.88,9.38,27.4,5.43,N/A
FUBO,FUBOTV INC CLASS A COM SHS,2.71,87.5,DOWN,3.35,3.41,0.57,25.81,14.47,N/A
FUTU,FUTU HLDGS LTD SPON ADS CL A,164.66,44.7,FLAT,172.4,143.33,1.21,14.53,1.99,N/A
